steps	episodes	average_discriminator_loss	average_D_output	average_mod_rewards	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates
1024000	1000	-0.8672659472525119	-1.1547740372177213	nan	-1.1547740177891779	-1.9553359	0.5011128	0.10517684295773506	0.0026994682289659976	160000
2048000	2000	-0.9943071802854538	-1.741906820940785	nan	-1.7419068060952423	-2.320821	0.49643975	0.09693159453570843	0.0027082709968090056	320000
3072000	3000	-0.7456515384316444	-1.828093454313154	nan	-1.828093447524651	-1.4730269	0.43736705	0.06983575653284788	0.00921921880915761	480000
4096000	4000	-0.642892301261425	-1.743213529640343	nan	-1.7432135236016044	-0.6724984	0.45894977	0.09714471083134413	0.005878967056050896	640000
5120000	5000	-0.6343910734951496	-1.697328544376418	nan	-1.6973285412896557	-2.143085	0.43577603	0.06903859481215477	-0.005584109798073769	800000
6144000	6000	-0.5213166739344597	-1.6695445796179895	nan	-1.6695445761720829	-1.9679866	0.46977565	0.048936722837388515	-0.010735597414895891	960000
7168000	7000	-0.7288738030493259	-1.6358348422311246	nan	-1.6358348406812222	-0.4751451	0.49202955	0.0752023733407259	0.0015359327010810375	1120000
8192000	8000	-0.4942304539978504	-1.5845538116176612	nan	-1.584553808764324	-2.054897	0.4318572	0.05143039543181658	-0.008543223161250352	1280000
9216000	9000	-0.4759650431573391	-1.5458586149517861	nan	-1.5458586108510906	0.45953777	0.47197968	0.08368473306298256	-0.007824986409395933	1440000
10240000	10000	-0.48903958573937417	-1.507876744779758	nan	-1.5078767408720515	-2.3716595	0.46973345	0.056071160472929475	-0.013109303815290331	1600000
11264000	11000	-0.41132276877760887	-1.5057848216528074	nan	-1.505784819975217	-1.540531	0.44137377	0.06076169449836016	0.011017234455794096	1760000
12288000	12000	-0.51044287571311	-1.3862363758562133	nan	-1.3862363735487346	-0.47730583	0.4626509	0.06626890651881695	0.0071274774335324765	1920000
13312000	13000	-0.5673343724906444	-1.306307726816507	nan	-1.3063077226216404	-0.8789951	0.4771427	0.06781561654061079	-0.0065959133580327034	2080000
14336000	14000	-0.4498413468003273	-1.2738106637892779	nan	-1.273810659314438	-0.8078159	0.47333658	0.07437080081552266	0.0014056807849556208	2240000
15360000	15000	-0.41657036951184273	-1.2414663441476879	nan	-1.2414663395329049	-1.3945295	0.45563474	0.0774481788277626	0.011635963767766953	2400000
16384000	16000	-0.44439110235869883	-1.213451529052807	nan	-1.2134515250541051	-0.9884879	0.4686001	0.07376976866275071	0.010430811867117883	2560000
17408000	17000	-0.48998290368914604	-1.1922642166239674	nan	-1.1922642123879326	-1.4036304	0.46676183	0.07062831085175275	0.013430786337703466	2720000
18432000	18000	-0.4625279697775841	-1.189384253145894	nan	-1.1893842498201022	-1.2260454	0.4608764	0.07401191201061011	-0.004160023164004088	2880000
19456000	19000	-0.5062274892628192	-1.1838746377320495	nan	-1.1838746346426583	-1.1008295	0.46396852	0.09180043760687112	0.007103563407436013	3040000
20480000	20000	-0.5056585298478603	-1.1644083774655591	nan	-1.1644083744016376	-0.75976634	0.46628717	0.3302056317031383	0.0005200751684606075	3200000
