mean_dist	min_dist	max_dist	agent_within_SS	expert_within_SS
529.5722466180015	489.5055480787352	584.1489282118146	19.857377160568415	7.765060702991739
537.0491946906005	447.3543935320844	630.6149334834868	45.57453487083347	7.765060702991739
520.3611784318574	446.9088214734303	584.1886876274738	30.9151634099509	7.765060702991739
515.2020849737444	399.09323850598554	630.5397593078823	45.531801919490505	7.765060702991739
520.7274078828619	447.19276937364634	623.1003842798808	42.29306676377841	7.765060702991739
518.6597969704837	398.74380727031615	630.5026473782616	60.84528055488478	7.765060702991739
565.9617858896448	489.31704815300355	623.1776262004709	43.12862224971078	7.765060702991739
576.9118119928333	398.1228196795007	679.2144575618096	53.75651001803036	7.765060702991739
515.0211348721942	397.6833270047117	671.9718092305105	49.01727520444622	7.765060702991739
448.482469480563	323.4426329055882	622.7282246695032	63.04046070611247	7.765060702991739
448.0372267351247	182.48266248615167	630.1395050469426	86.39999604384752	7.765060702991739
496.12275927386946	397.42642781252454	631.6565882852901	66.29696920144121	7.765060702991739
