steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss
10000	50	84.80609488487244	0.0	0.0	0.0	0.0	0.0	15.240050182938576	0.24313971835677511	9.440466518998146	0.7414509645104408
20000	100	209.16294693946838	0.0	0.0	0.0	0.0	0.0	34.691934850692746	0.08202624493475928	27.852180914878844	0.10959310591220855
30000	150	336.50437688827515	0.0	0.0	0.0	0.0	0.0	57.685770260810855	0.049064576278007734	102.04550817489624	-1.080009022653103
40000	200	442.35089898109436	0.0	0.0	0.0	0.0	0.0	31.11435299015045	0.038458893417514656	41.72468743085861	-0.6818973836302757
50000	250	502.3469820022583	0.0	0.0	0.0	0.0	0.0	68.25530448150634	0.044921785857361146	165.51739407539367	-1.526535593867302
60000	300	564.6158449649811	0.0	0.0	0.0	0.0	0.0	38.22925974750519	0.040109842705486065	54.6123486661911	-1.8525335624814034
70000	350	658.2733268737793	0.0	0.0	0.0	0.0	0.0	73.59590227127075	0.034663730612101845	231.95376802444457	-1.832595969438553
80000	400	718.3463900089264	0.0	0.0	0.0	0.0	0.0	73.21493264770508	0.028412311671807446	276.89624780654907	1.7085925343632697
90000	450	835.2640969753265	0.0	0.0	0.0	0.0	0.0	7.8211589756757025	0.03615438689633642	48.51502786159515	-0.7334392140805721
100000	500	899.7151491641998	0.0	0.0	0.0	0.0	0.0	-6.968339096613228	0.025701665762050244	25.89234806060791	0.5557590572535992
110000	550	958.2840158939362	0.0	0.0	0.0	0.0	0.0	18.627827324837448	0.011328301204491898	53.94577057361603	-1.9696991476416588
120000	600	1015.2146661281586	0.0	0.0	0.0	0.0	0.0	7.697084086507559	0.019481715275771565	23.502031908035278	0.463381873331964
130000	650	1077.2150189876556	0.0	0.0	0.0	0.0	0.0	68.51440322494507	0.011749554416853636	190.79712557792664	-2.438887917995453
140000	700	1172.5091228485107	0.0	0.0	0.0	0.0	0.0	44.70588230240345	0.0067281972155511585	111.18205136299133	-1.1388261884450912
150000	750	1238.5049090385437	0.0	0.0	0.0	0.0	0.0	21.79311891566217	0.006157247362196024	69.37744689702987	-0.1662757048010826
160000	800	1330.719213962555	0.0	0.0	0.0	0.0	0.0	29.74679486350715	0.010821139946010234	67.47779198408126	0.23643493965268136
170000	850	1399.15780210495	0.0	0.0	0.0	0.0	0.0	58.75864914894104	0.010701900668569636	181.99078784942628	-0.6312654142081737
180000	900	1460.026214838028	0.0	0.0	0.0	0.0	0.0	42.89992561084032	0.013327130751552247	126.35243315696717	-1.9106188249588012
190000	950	1520.6664290428162	0.0	0.0	0.0	0.0	0.0	76.97806283569336	0.007282265114659528	225.65587314605713	1.1165082705020906
200000	1000	1578.995609998703	0.0	0.0	0.0	0.0	0.0	86.19949488830567	0.00952100202106092	372.733938369751	0.6317197901010513
210000	1050	1638.919615983963	0.0	0.0	0.0	0.0	0.0	6.440569844819605	0.01622673682918915	32.51169146895408	-0.7953471198678017
220000	1100	1701.129306793213	0.0	0.0	0.0	0.0	0.0	47.40247190737724	0.01030384791354036	140.22580755233764	-2.0586726903915404
230000	1150	1763.6981461048126	0.0	0.0	0.0	0.0	0.0	55.34321652638912	0.012396242371830006	179.06282116889955	0.7391995592415332
240000	1200	1822.1695671081543	0.0	0.0	0.0	0.0	0.0	35.433691244900224	0.013781421447282012	71.51321028739214	1.0806021654605866
250000	1250	1881.6492159366608	0.0	0.0	0.0	0.0	0.0	21.519177977651356	0.008129985728224032	51.31655994415283	1.549894798770547
260000	1300	1938.2327671051025	0.0	0.0	0.0	0.0	0.0	-5.6151057022809985	0.011392471295498223	3.9043207496404646	-1.065121130645275
270000	1350	1996.2209830284119	0.0	0.0	0.0	0.0	0.0	40.366853243172166	0.00849300149889718	152.10710532665252	0.3747085499763489
280000	1400	2061.504404067993	0.0	0.0	0.0	0.0	0.0	43.515433285981416	0.00604621583389423	69.12326328277588	0.9630128508806228
