steps	episodes	elapsed	mean	median	stdev	max	min	average_discriminator_loss	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss
10000	100	194.17767214775085	0.0	0.0	0.0	0.0	0.0	0.007976367875623206	-3.5055841259085216	-101.87746949005127	0.48464642040447625	1972.6762243652345	20.955547366142273
20000	200	380.19206166267395	0.0	0.0	0.0	0.0	0.0	0.008097292974036044	-3.652819738938258	-136.41840774154664	0.3295895607059141	1499.4788159179689	-0.905009639263153
30000	300	565.4820182323456	0.0	0.0	0.0	0.0	0.0	0.00800803290684031	-3.468063556597146	-125.81371558380127	0.19814491012461757	983.8655102539062	-5.633179974555969
40000	400	750.7574999332428	0.0	0.0	0.0	0.0	0.0	0.009769715386657761	-3.044316817063074	-118.63709191894532	0.18668615242953737	609.0207173156738	-10.525852801203728
50000	500	936.1549243927002	0.0	0.0	0.0	0.0	0.0	0.010832177814191733	-2.678000517265919	-76.4108548002243	0.1317525774623229	503.4492681121826	0.18662117958068847
60000	600	1121.5613765716553	0.0	0.0	0.0	0.0	0.0	0.011689194982560972	-2.4265973231293514	-59.8333849401474	0.09393687176536554	323.2360826873779	9.482386237978936
70000	700	1306.5511555671692	0.0	0.0	0.0	0.0	0.0	0.01132393535951514	-2.4403933786817795	-187.54740409088134	0.11078376305723643	673.4358966064453	-6.827388162612915
80000	800	1493.377078294754	0.0	0.0	0.0	0.0	0.0	0.011781824612617493	-2.2959609577432274	-58.088795740127566	0.05089260640516821	254.36353874206543	5.4613086050748825
90000	900	1678.9968514442444	0.0	0.0	0.0	0.0	0.0	0.012346637694914939	-2.1759494114600937	-61.956891589164734	0.026658317908322213	220.71670753479003	-0.7057832384109497
100000	1000	1864.902799129486	0.0	0.0	0.0	0.0	0.0	0.012127232107020217	-2.2256095153643307	-162.46769301986694	0.09597350918850682	648.7823223876953	-3.063342543244362
110000	1100	2051.0346529483795	0.0	0.0	0.0	0.0	0.0	0.011825991663279509	-2.2834527315853794	-149.8397823638916	0.056784099726001146	799.2882400512696	-7.485191638469696
120000	1200	2236.5911531448364	0.0	0.0	0.0	0.0	0.0	0.01221552112297798	-2.219128407809283	-88.49694680786133	0.0313998956330788	237.34078853607178	-3.1718109142780304
130000	1300	2422.0510630607605	0.0	0.0	0.0	0.0	0.0	0.012200132264755666	-2.2057940598214043	-69.89905377197266	0.02917281694895916	69.62758108139037	-2.7173691728711127
140000	1400	2607.7858424186707	0.0	0.0	0.0	0.0	0.0	0.012738727092277259	-2.057804227792658	-92.89849236822128	0.023142289035961744	144.76708534240723	-1.266920998096466
150000	1500	2793.0825276374817	0.0	0.0	0.0	0.0	0.0	0.012948738604201935	-1.9366272794092074	-83.32046499824524	0.023431879548660845	263.1642067337036	3.6110535976290703
160000	1600	2979.266777276993	0.0	0.0	0.0	0.0	0.0	0.012941642133053393	-1.908098048013635	-121.44193921661378	0.020654518227620274	241.26994567871094	-9.623821439743041
170000	1700	3164.9467902183533	0.0	0.0	0.0	0.0	0.0	0.012498584103770555	-1.9965310073615983	-86.50862737512588	0.02276037226951506	160.2931991958618	5.892451968193054
180000	1800	3350.8588654994965	0.0	0.0	0.0	0.0	0.0	0.01204899047408253	-2.103903495729901	-109.73610713791847	0.033193627007099116	163.96922861099245	-6.498195168972015
190000	1900	3536.8452100753784	0.0	0.0	0.0	0.0	0.0	0.011465702222194523	-2.2370909384032713	-108.8430894036293	0.02255857519118858	156.50861560821534	2.786440076828003
200000	2000	3723.3057050704956	0.0	0.0	0.0	0.0	0.0	0.011429680061759427	-2.2744585635513066	-129.87622575700283	0.016543626070436915	133.79222120285033	0.3736627197265625
