Number of training steps,Wasserstein distance,Comparison with
1095000,0.009010526315789476,Experts
1095000,0.0059842105263157915,Experts
1095000,0.005384210526315793,Experts
1095000,0.007131578947368427,Experts
1095000,0.0067894736842105275,Experts
1095000,0.01067368421052632,Experts
1095000,0.006463157894736847,Experts
1095000,0.007636842105263155,Experts
1095000,0.0075473684210526385,Experts
1095000,0.007021052631578953,Experts
1095000,0.0078421052631579,Experts
1095000,0.00748947368421053,Experts
1095000,0.007568421052631579,Experts
1095000,0.006315789473684212,Experts
1095000,0.008210526315789477,Experts
1095000,0.006126315789473688,Experts
1095000,0.005989473684210529,Experts
1095000,0.00748947368421053,Experts
1095000,0.007868421052631578,Experts
1095000,0.006705263157894738,Experts
1095000,0.0116421052631579,Experts
1095000,0.005684210526315788,Experts
1095000,0.0047947368421052666,Experts
1095000,0.006652631578947368,Experts
1095000,0.01210526315789474,Experts
1095000,0.009610526315789474,Experts
1095000,0.007884210526315789,Experts
1095000,0.006431578947368424,Experts
1095000,0.011700000000000004,Experts
1095000,0.007726315789473691,Experts
1095000,0.007552631578947373,Experts
1095000,0.007215789473684211,Experts
1095000,0.0068578947368421045,Experts
1095000,0.005326315789473687,Experts
1095000,0.006657894736842108,Experts
1095000,0.005347368421052635,Experts
1095000,0.006963157894736845,Experts
1095000,0.0078421052631579,Experts
1095000,0.008189473684210533,Experts
1095000,0.006768421052631585,Experts
1095000,0.006373684210526319,Experts
1095000,0.004778947368421053,Experts
1095000,0.006489473684210528,Experts
1095000,0.010694736842105267,Experts
1095000,0.007021052631578949,Experts
1095000,0.007263157894736845,Experts
1095000,0.007694736842105267,Experts
1095000,0.007621052631578953,Experts
1095000,0.005399999999999998,Experts
1095000,0.006110526315789478,Experts
1095000,0.007115789473684214,Experts
1095000,0.006263157894736842,Experts
1095000,0.005536842105263162,Experts
1095000,0.008163157894736846,Experts
1095000,0.006405263157894735,Experts
1095000,0.006442105263157898,Experts
1095000,0.005768421052631583,Experts
1095000,0.007931578947368425,Experts
1095000,0.003989473684210524,Experts
1095000,0.007705263157894739,Experts
1095000,0.004621052631578951,Experts
1095000,0.005305263157894736,Experts
1095000,0.004557894736842106,Experts
1095000,0.00697368421052632,Experts
1095000,0.006721052631578949,Experts
1095000,0.004857894736842107,Experts
