steps	episodes	average_discriminator_loss	average_D_output	average_mod_rewards	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates
1024000	1000	0.07616679847961495	-1.312977452427149	nan	-1.3129774528559022	-0.56588244	0.41600007	0.013214961607009173	0.000225929357111454	80000
2048000	2000	-0.005146780389823107	-1.2862763012200593	nan	-1.2862763018975603	-1.1789756	0.47728732	0.012914358489215374	-0.0007043183594942093	160000
3072000	3000	-0.025635358659208577	-1.2879681432743868	nan	-1.2879681458316092	-1.407924	0.46939465	0.012235068529844285	-0.004038637187331915	240000
4096000	4000	-0.03169282421848038	-1.31221313778311	nan	-1.3122131391954381	-1.5620273	0.38579553	0.011008228715509176	0.0006935868971049786	320000
5120000	5000	-0.006815949678362813	-1.3522485678493976	nan	-1.3522485694413742	-1.4693651	0.28044653	0.010333434352651239	-0.0005517806578427553	400000
6144000	6000	-0.03998895984963747	-1.3966196483621995	nan	-1.3966196503917616	-1.8514338	0.16100912	0.00925308016128838	-0.0036337163485586645	480000
7168000	7000	-0.07439993195456919	-1.4371112489913191	nan	-1.4371112523365692	-1.9748775	0.13738395	0.01212158621288836	-0.0027203188091516495	560000
8192000	8000	-0.06878480177477468	-1.4776594484038652	nan	-1.4776594525031936	-1.7127333	0.1303304	0.022499915100634097	0.0006873640790581704	640000
9216000	9000	-0.11106704990033177	-1.5167947095135847	nan	-1.5167947139879698	-1.8724793	0.14505683	0.02761106438934803	-0.0007019513659179211	720000
10240000	10000	-0.11143972295441198	-1.5414112312942743	nan	-1.5414112354321268	-1.9773364	0.14101131	0.028673748709261416	-0.0012107192911207675	800000
11264000	11000	-0.16496595194359542	-1.5938436784744263	nan	-1.5938436831266152	-2.2257712	0.1294297	0.04287659030407667	-0.001045563342049718	880000
12288000	12000	-0.253341766164056	-1.6574077850580216	nan	-1.6574077899849544	-2.0758016	0.12733544	0.06227476935833692	0.006792929247021675	960000
13312000	13000	-0.3200141988372197	-1.7183054239749909	nan	-1.7183054277145686	-1.9729685	0.105992734	0.06848723627626896	-0.0009486961271613836	1040000
14336000	14000	-0.3250966922802618	-1.7397751239538193	nan	-1.7397751273392559	-1.7806541	0.11229029	0.0900822040438652	-0.0014229986816644668	1120000
15360000	15000	-0.18989808348659426	-1.7119662465453147	nan	-1.7119662501985635	-1.1299922	0.1326404	0.07602683238685132	-0.004903717471752316	1200000
16384000	16000	-0.2759826767069171	-1.6933747374415398	nan	-1.6933747413907103	-1.8273213	0.121412106	0.08106046624481678	-0.0033213549852371214	1280000
17408000	17000	-0.3688421571463987	-1.697378125846386	nan	-1.697378128188102	-2.0553658	0.13021515	0.11795417919754982	-0.003753626625984907	1360000
18432000	18000	-0.4253162100735353	-1.7054201746582984	nan	-1.705420177075505	-1.7417961	0.1436558	0.14812417522072793	0.003307812642306089	1440000
19456000	19000	-0.42927919283759547	-1.6806977426409722	nan	-1.6806977449619778	-1.7082633	0.14195278	0.15790007688105107	-0.0033664412796497343	1520000
20480000	20000	-0.4501513435909874	-1.6425659195780755	nan	-1.6425659218106656	-1.7323338	0.14244354	0.1812676602602005	0.009021905455738307	1600000
