steps	episodes	average_discriminator_loss	average_D_output	average_mod_rewards	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates
1024000	1000	-0.6883646148443222	0.10650556972716003	nan	0.1065055704211518	0.769669	0.5168615	0.08113754373043776	-0.002770679499953985	160000
2048000	2000	-0.5445217742621898	0.47482848110841586	nan	0.47482848194812505	1.1403813	0.47834852	0.08265364963561296	0.00032877071760594844	320000
3072000	3000	-0.41047561621665957	0.6205182642194753	nan	0.6205182631869527	0.52348495	0.48604205	0.05225619826465845	-0.006830956218764186	480000
4096000	4000	-0.40844539910554883	0.6424390639884223	nan	0.6424390638975993	-0.3466786	0.4888936	0.04700976392254233	-0.0021353385131806135	640000
5120000	5000	-0.32523399317264556	0.6397644403508166	nan	0.6397644393144022	-0.33739904	0.45174202	0.04744935840368271	-0.015858001234009864	800000
6144000	6000	-0.2956599623113871	0.650968761286252	nan	0.6509687598175581	0.7400035	0.46940863	0.06348591394722462	-0.017237056363373995	960000
7168000	7000	-0.2649916483014822	0.665767169738205	nan	0.6657671689709028	1.2534012	0.46514902	0.06454117428511381	0.001566474288702011	1120000
8192000	8000	-0.22614875853806735	0.6859599903439084	nan	0.6859599899590425	1.3975136	0.4792876	0.05666845057159662	-0.00874105853959918	1280000
9216000	9000	-0.22667427743971347	0.6832681670560528	nan	0.683268166243758	0.65158635	0.45569047	0.060392247997224334	0.0016542730014771224	1440000
10240000	10000	-0.19889950805902482	0.6696626286625978	nan	0.6696626275652928	0.46596557	0.4648386	0.3746944370865822	-0.005649254471063614	1600000
