steps	episodes	average_discriminator_loss	average_D_output	average_mod_rewards	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates
1024000	1000	-0.556604170024395	-1.2445647453819402	nan	-1.2445647337776033	-1.2867627	0.45463604	0.08459103956818581	-0.006971444468945265	160000
2048000	2000	-0.5603458514213562	-1.0845768482994753	nan	-1.0845768438225107	-1.9039698	0.49123585	0.049401626531034706	-0.012622881606221199	320000
3072000	3000	-0.6086598484814167	-1.0854389160010032	nan	-1.0854389135989386	-1.4723448	0.49581373	0.05752264805138111	-0.013607184840366245	480000
4096000	4000	-0.45227107697725294	-1.1096946201572429	nan	-1.1096946163532708	-1.5047283	0.4787672	0.06798504568636417	-0.03451234929263592	640000
5120000	5000	-0.3539936875551939	-1.1183480274719186	nan	-1.118348022858441	-0.36814573	0.44401726	0.04711012352257967	0.0026978219812735914	800000
6144000	6000	-0.23776541352272035	-1.12500401369102	nan	-1.125004007743388	-2.938933	0.44858298	0.04656079048290849	-0.01889663388952613	960000
7168000	7000	-0.48231420186161994	-1.1137967444247832	nan	-1.1137967410191179	-2.4334326	0.48713222	0.07704404003918171	-0.013694831570610404	1120000
8192000	8000	-0.3483823087662458	-1.0459920969171799	nan	-1.0459920920883328	1.349193	0.44670615	0.034838447384536265	-0.007004570877179503	1280000
9216000	9000	-0.2999670761823654	-1.0124531395364709	nan	-1.0124531357732407	-1.8705691	0.44498768	0.07626646541059018	-0.010872422521933912	1440000
10240000	10000	-0.18411123636364937	-0.9939924923268846	nan	-0.9939924896336206	-2.5185866	0.43961543	0.057241881266236305	-0.0021242290548980237	1600000
11264000	11000	-0.23250764103978871	-0.97008655612648	nan	-0.9700865556935243	0.27449554	0.4593764	0.042736099995672704	0.01227268496528268	1760000
12288000	12000	-0.23035777747631073	-0.9961657324043336	nan	-0.9961657300124273	-2.0875213	0.45118713	0.06474632903933525	-0.012378111481666565	1920000
13312000	13000	-0.21646582727134228	-0.9954350898555713	nan	-0.995435086483411	-1.5366437	0.45007423	0.05916363518685103	0.0028797102719545363	2080000
14336000	14000	-0.26488826179504393	-0.974258291357779	nan	-0.9742582892978898	-0.9885895	0.46314186	0.06145627733319998	0.002752508781850338	2240000
15360000	15000	-0.2443334276676178	-0.96053672162781	nan	-0.9605367198512262	-1.7352276	0.46708292	0.07090365212410689	-0.01008441299200058	2400000
16384000	16000	-0.2924341612607241	-0.9516702960106777	nan	-0.9516702953293934	-1.3190496	0.44903576	0.06597464893013238	-0.020501264967024327	2560000
17408000	17000	-0.30852519325912	-0.9315129208896542	nan	-0.9315129188475636	-0.8232311	0.4479362	0.06888349436223506	-0.0029283136688172816	2720000
18432000	18000	-0.29901031428575514	-0.9316092770580435	nan	-0.9316092763653518	-0.8460323	0.4399053	0.07518644697964191	-0.008708860408514738	2880000
19456000	19000	-0.28878775086998937	-0.9077655036076904	nan	-0.9077655025007464	-0.85773	0.4540766	0.07413652077317238	0.0003098312392830849	3040000
20480000	20000	-0.20601798393577336	-0.8741695791268721	nan	-0.8741695776404333	-0.43261388	0.45686242	0.11857322558760643	-0.004259179905056953	3200000
