steps	episodes	average_discriminator_loss	average_D_output	average_mod_rewards	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates
1024000	1000	-1.3348042682409287	-0.8187830316275359	nan	-0.8187829994700738	0.6102109	0.44729486	0.044688986428081987	-0.01630268629640341	160000
2048000	2000	-1.4303478041887283	-0.46227964663878085	nan	-0.4622796310447733	0.6537226	0.47777972	0.05292305238544941	-0.005850293394178152	320000
3072000	3000	-1.4868122284412384	-0.18062344343401493	nan	-0.18062343167947673	0.7592992	0.42075986	0.05081652645021677	-0.011578210908919574	480000
4096000	4000	-1.150850436270237	0.00027270081685855987	nan	0.00027270939703026185	0.66289353	0.45906085	0.06190978433936834	0.00026899470947682857	640000
5120000	5000	-1.069856141269207	0.024170304352417588	nan	0.024170310641192343	0.011464127	0.42831293	0.0833004666492343	-0.02011276625096798	800000
6144000	6000	-0.8648218001127244	-0.020261716676565508	nan	-0.020261711055192914	-0.61529094	0.41606784	0.05231037348508835	-0.01343722227960825	960000
7168000	7000	-0.8696719092726708	-0.040992984352633356	nan	-0.04099297988140266	-0.9172212	0.43054187	0.05705504182726145	0.0015267364028841257	1120000
8192000	8000	-0.7781736428141593	-0.07070351801274227	nan	-0.07070351419080007	0.39758953	0.42773739	0.038382280860096214	-0.02289819810539484	1280000
9216000	9000	-0.44156187504529953	-0.09012549305476973	nan	-0.09012548837190874	-1.197377	0.44732752	0.04152625786140561	-0.012406994476914407	1440000
10240000	10000	-0.33184122875332833	-0.11124696304218377	nan	-0.11124695734744137	1.3523393	0.4467443	0.03401488933712244	-0.01475763449445367	1600000
11264000	11000	-1.189219564974308	-0.13224285016291437	nan	-0.1322428446690966	1.1179118	0.4745112	0.044207231365144255	0.008781792633235454	1760000
12288000	12000	-0.5044061103761196	-0.16041258496804706	nan	-0.16041258010266793	1.1684338	0.44998032	0.0305939900316298	-0.018317104950547218	1920000
13312000	13000	-0.5309247682988644	-0.18958619245211594	nan	-0.18958618717273854	0.06893425	0.44834045	0.04441063333302736	-0.026486379895359277	2080000
14336000	14000	-0.39827600169181826	-0.21190281723451335	nan	-0.21190281230734445	0.9878413	0.45231354	0.05072262205183506	0.013551552407443523	2240000
15360000	15000	-0.2450763307362795	-0.23245855666409868	nan	-0.23245855249991965	1.0772295	0.45580047	0.04401115361601114	-0.022968993214890362	2400000
16384000	16000	-0.4315587325692177	-0.25681465024325006	nan	-0.25681464595089226	0.4440575	0.45839632	0.04728960681706667	-0.007973245261237025	2560000
17408000	17000	-0.34385231184959414	-0.2819398765547393	nan	-0.2819398724068239	0.16691877	0.4579391	0.04888642769306898	0.0016000395081937314	2720000
18432000	18000	-0.3710590290129185	-0.3039481021978039	nan	-0.30394809877115175	-0.35310102	0.45267102	0.045534450002014636	0.009324668748304248	2880000
19456000	19000	-0.3966125353872776	-0.31774334159158907	nan	-0.31774333849264813	-0.5246644	0.4458932	0.05924242570996285	-0.005644447430968285	3040000
20480000	20000	-0.44126037311553956	-0.3304711867404985	nan	-0.33047118353056565	-0.6365216	0.4508912	0.13586941413581372	-0.010995716713368893	3200000
