steps	episodes	average_discriminator_loss	average_D_output	average_mod_rewards	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates
1024000	1000	-0.5506065192222596	-0.6581054110452533	nan	-0.6581054230757829	-0.46376446	0.46586025	0.0793725861608982	0.0055674416013062	160000
2048000	2000	-0.44991621302068235	-0.7111687775002793	nan	-0.7111687802869241	-0.5200819	0.47233424	0.0794093095138669	-0.02045332072302699	320000
3072000	3000	-0.5165264703333378	-0.7098558613006025	nan	-0.7098558639723737	-0.64789927	0.42546162	0.0564078201726079	-0.0015326215606182815	480000
4096000	4000	-0.36701269893348215	-0.6542992312280694	nan	-0.6542992302636864	-1.5213562	0.47239262	0.05042118091136217	-0.003055428359657526	640000
5120000	5000	-0.17076509022712708	-0.628311698236037	nan	-0.6283116975154336	-1.5774615	0.47155455	0.041455222275108096	0.004260916411876679	800000
6144000	6000	-0.44535434629023074	-0.5981222578863769	nan	-0.598122257401806	-0.6323264	0.41639417	0.05093709848821163	-0.011264746431261302	960000
7168000	7000	-0.39455820122361185	-0.5851538693994682	nan	-0.5851538665676672	-1.9262017	0.4739341	0.04895287631079555	-0.0038422092609107492	1120000
8192000	8000	-0.322192902892828	-0.5670642871115706	nan	-0.5670642837891078	0.56381434	0.43992254	0.04194723960012198	0.0015752410236746072	1280000
9216000	9000	-0.4118002301901579	-0.5706453564501781	nan	-0.5706453535122826	0.18629318	0.48349336	0.05579268008470535	-0.006233318708837032	1440000
10240000	10000	-0.23628933216631412	-0.5821228108502692	nan	-0.5821228076530465	0.31441283	0.46656865	0.06161537762731314	-0.003996311109513044	1600000
11264000	11000	-0.2892289348095655	-0.5920330403720727	nan	-0.5920330362631512	-1.4457835	0.472987	0.06041577521711588	-0.018769381567835808	1760000
12288000	12000	-0.2842242315709591	-0.5864004080736777	nan	-0.5864004046576121	0.085014895	0.4667531	0.06824764009565115	-0.002378140892833471	1920000
13312000	13000	-0.27828476502001287	-0.5724924633105984	nan	-0.5724924594410734	0.050799035	0.4701297	0.07206650730222464	0.0043251653574407104	2080000
14336000	14000	-0.23647172902524471	-0.5750170907910215	nan	-0.5750170876475827	-1.0107588	0.4387017	0.06957746535539627	-0.0012279783934354782	2240000
15360000	15000	-0.23317261564731598	-0.570361560147372	nan	-0.5703615569515448	-0.5093809	0.46464282	0.06389372296631336	0.001954576186835766	2400000
16384000	16000	-0.2494818037301302	-0.5659982027467341	nan	-0.5659981995257833	-0.90966845	0.4671792	0.06468480661511421	0.00686633875593543	2560000
17408000	17000	-0.1728050818219781	-0.5623423195537179	nan	-0.5623423181597478	-0.83035684	0.45653337	0.05849456610158086	-0.01641763946041465	2720000
18432000	18000	-0.2284629805982113	-0.5583397972756066	nan	-0.5583397968340429	-0.6243936	0.4730295	0.07286577645689249	-0.0065208905749022964	2880000
19456000	19000	-0.18897581473737954	-0.5386037689633667	nan	-0.5386037686231273	-0.101417184	0.46124664	0.06901697009801865	-0.015492309164255858	3040000
20480000	20000	-0.19111949155479668	-0.5077532762818737	nan	-0.5077532767218389	-0.43292615	0.4684589	0.0718312332779169	0.0007200760394334793	3200000
