Number of training steps,Wasserstein distance,Comparison with
1095000,0.010910526315789475,Experts
1095000,0.00901578947368421,Experts
1095000,0.008300000000000004,Experts
1095000,0.005884210526315794,Experts
1095000,0.008457894736842109,Experts
1095000,0.0066789473684210595,Experts
1095000,0.006021052631578956,Experts
1095000,0.008794736842105263,Experts
1095000,0.006331578947368426,Experts
1095000,0.005968421052631585,Experts
1095000,0.005578947368421059,New customers
1095000,0.00685789473684211,Closest expert
1095000,0.010515789473684213,New customers
1095000,0.008642105263157899,Closest expert
1095000,0.010668421052631579,New customers
1095000,0.009452631578947369,Closest expert
1095000,0.007784210526315792,New customers
1095000,0.007457894736842107,Closest expert
1095000,0.006563157894736848,New customers
1095000,0.007205263157894742,Closest expert
1095000,0.004794736842105267,New customers
1095000,0.005442105263157899,Closest expert
1095000,0.008973684210526318,New customers
1095000,0.008989473684210528,Closest expert
1095000,0.009484210526315795,New customers
1095000,0.008247368421052635,Closest expert
1095000,0.009257894736842107,New customers
1095000,0.009505263157894737,Closest expert
1095000,0.00985263157894737,New customers
1095000,0.009142105263157898,Closest expert
1095000,0.008631578947368428,New customers
1095000,0.006884210526315795,Closest expert
1095000,0.006778947368421053,New customers
1095000,0.009042105263157896,Closest expert
1095000,0.008547368421052633,New customers
1095000,0.009189473684210527,Closest expert
1095000,0.0066736842105263195,New customers
1095000,0.008668421052631579,Closest expert
1095000,0.00782631578947369,New customers
1095000,0.005878947368421057,Closest expert
1095000,0.01074736842105263,New customers
1095000,0.010668421052631579,Closest expert
1095000,0.009310526315789476,New customers
1095000,0.008947368421052633,Closest expert
1095000,0.008615789473684212,New customers
1095000,0.008615789473684214,Closest expert
1095000,0.00782631578947369,New customers
1095000,0.006931578947368426,Closest expert
1095000,0.006931578947368428,New customers
1095000,0.006373684210526325,Closest expert
1095000,0.0038157894736842147,New customers
1095000,0.006415789473684216,Closest expert
1095000,0.0097421052631579,New customers
1095000,0.008952631578947374,Closest expert
1095000,0.006794736842105266,New customers
1095000,0.009021052631578947,Closest expert
1095000,0.009542105263157897,New customers
1095000,0.009868421052631578,Closest expert
1095000,0.00502105263157895,New customers
1095000,0.005668421052631584,Closest expert
1095000,0.00830526315789474,New customers
1095000,0.00908421052631579,Closest expert
1095000,0.007978947368421054,New customers
1095000,0.007947368421052634,Closest expert
1095000,0.004715789473684215,New customers
1095000,0.006542105263157899,Closest expert
1095000,0.008163157894736853,New customers
1095000,0.007147368421052642,Closest expert
1095000,0.005594736842105268,New customers
1095000,0.006526315789473688,Closest expert
1095000,0.009936842105263159,New customers
1095000,0.00938421052631579,Closest expert
1095000,0.006442105263157897,New customers
1095000,0.008068421052631582,Closest expert
1095000,0.008584210526315795,New customers
1095000,0.008584210526315793,Closest expert
1095000,0.007763157894736847,New customers
1095000,0.006600000000000006,Closest expert
1095000,0.007878947368421055,New customers
