steps	episodes	average_discriminator_loss	average_D_output	average_mod_rewards	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates
1024000	1000	-0.5599634488523006	-0.25429555820301175	nan	-0.25429553785068953	-1.4376558	0.47906482	0.06387930288910866	6.558233872056007e-05	160000
2048000	2000	-0.44258679769933224	-0.5035711178835481	nan	-0.5035711109908303	-1.0339673	0.4405545	0.06733685549348593	0.003957582451403141	320000
3072000	3000	-0.29514304268360136	-0.5164262203806235	nan	-0.5164262153377789	0.71010405	0.45991412	0.050164024196565155	-0.02013855632394552	480000
4096000	4000	-0.31444218957424164	-0.4559917937961291	nan	-0.45599179014808244	1.0600975	0.4588855	0.052427690327167514	-0.005573167745023966	640000
5120000	5000	-0.2317979000657797	-0.44098670682287777	nan	-0.4409867024967856	0.64832115	0.4430344	0.06851217724382877	0.006303011449053883	800000
6144000	6000	-0.4046891412585974	-0.454930813498601	nan	-0.45493080972626815	-1.5667163	0.46935403	0.05042156293988228	-0.010196089698001742	960000
7168000	7000	-0.5168779647946358	-0.4878612540075223	nan	-0.4878612497714318	0.23096575	0.47274965	0.06965364791452884	-0.012928239982575179	1120000
8192000	8000	-0.4729760890603065	-0.4789364023644885	nan	-0.4789363974991003	0.4578735	0.45903105	0.08441016357392073	-0.0011823084577918053	1280000
9216000	9000	-0.284257743448019	-0.5039304616626922	nan	-0.5039304577298358	0.39619696	0.46314442	0.07180968925356865	-0.015588351860642433	1440000
10240000	10000	-0.29667412081360817	-0.5293154252910753	nan	-0.5293154220819263	-1.214657	0.41951892	0.07800415568053723	-0.0016477306466549635	1600000
11264000	11000	-0.2540868363380432	-0.5773312789186602	nan	-0.5773312770999597	-0.044348206	0.4551701	0.0724027420580387	-0.0046687232982367275	1760000
12288000	12000	-0.22762552912533282	-0.5692541860401398	nan	-0.5692541833259593	-1.0909897	0.45135108	0.06774431835860013	-0.00892831327393651	1920000
13312000	13000	-0.2803999781906605	-0.5713581759827211	nan	-0.571358173244859	-0.12003221	0.44690043	0.07306834984570741	-0.0013557483442127704	2080000
14336000	14000	-0.33484612861275675	-0.6081761085032485	nan	-0.6081761058853778	-0.18673807	0.47662	0.06799980260431766	0.004587251301854849	2240000
15360000	15000	-0.30233745631575587	-0.63678283209051	nan	-0.6367828302049899	-0.6866382	0.46670726	0.07474503263831139	0.00038299132138490676	2400000
16384000	16000	-0.27916626766324043	-0.6484497809305322	nan	-0.6484497788481837	-0.6845002	0.46649086	0.07271180260926485	0.00411953566595912	2560000
17408000	17000	-0.3292873557806015	-0.6409861474211793	nan	-0.6409861461109146	-0.22778082	0.45946026	0.07040652602910996	-0.014026467204093934	2720000
18432000	18000	-0.24760803800821304	-0.6575070925194304	nan	-0.6575070924656174	-0.32563376	0.48314026	0.06521200310438871	0.0009301658719778061	2880000
19456000	19000	-0.2857423750013113	-0.6399103261039126	nan	-0.6399103259373558	-0.529938	0.43930334	0.07145958751440049	-0.0004961354099214077	3040000
20480000	20000	-0.27166742803156374	-0.6147228217602242	nan	-0.6147228212723989	-0.48530215	0.46870402	0.0796058563888073	0.0022885152883827687	3200000
