steps	episodes	average_discriminator_loss	average_D_output	average_mod_rewards	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates
1024000	1000	-0.604179029583931	-0.8952056621247902	nan	-0.8952056584229416	-0.7229990867376328	0.4963910134732723	0.07497352756559848	-0.010608019046485425	160000
2048000	2000	-0.5481162671148777	-0.6919987301225774	nan	-0.6919987275766255	0.39460158859193323	0.5226026936322451	0.07488588243722916	0.005895606204867363	320000
3072000	3000	-0.3074011577963829	-0.7049683499732055	nan	-0.704968345938008	-1.7977660377025604	0.4751334077343345	0.04301027115434408	-0.005665534585714341	480000
4096000	4000	-0.42929691857099533	-0.878032905656728	nan	-0.878032899541513	-2.058870983839035	0.47701721752434967	0.06506122153252364	-0.0040255375392735	640000
5120000	5000	-0.4165722519904375	-1.116259001174476	nan	-1.1162589930023026	-1.9776761572360992	0.494143304631114	0.08047809101641178	0.008092346908524633	800000
6144000	6000	-0.3521342773884535	-1.2559178135121085	nan	-1.255917807670088	-1.9013462405204773	0.5027250345498323	0.05387209918349981	-0.012250325363129377	960000
7168000	7000	-0.2855678609609604	-1.322468600385889	nan	-1.322468593369368	-1.3042978048324585	0.5075173471719027	0.05745008915662766	0.004476083815097809	1120000
8192000	8000	-0.25698032166063783	-1.3383091747257276	nan	-1.338309167846267	-1.2719665014743804	0.5274141396731138	0.05644679564982653	-0.008664234280586243	1280000
9216000	9000	-0.23374168476462365	-1.316524643124754	nan	-1.3165246356376317	-0.7062364610433578	0.5148359962925315	0.06427410509437323	-0.009737462466582657	1440000
10240000	10000	-0.2106887832134962	-1.2639370464279782	nan	-1.263937040262994	-0.47245316523313524	0.5118045953661203	0.17916821114718914	-0.017786721484735608	1600000
