steps	episodes	average_discriminator_loss	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates
12800	100	-0.15819909289984116	-0.7230182159692049	-37.31737568092346	0.20782790576666593	100.98146129608155	-0.024042224055156113	1920
25600	200	0.027203322212561033	-0.5696973912417889	2.7249561423659325	0.001809233707968815	4.704116427898407	-0.002533789174631238	4000
38400	300	-0.06564690551240346	-0.27478593658353834	24.401957662582397	0.0030593072706014937	24.876236476898193	-0.0004313963279128075	5920
51200	400	-0.34711635747039693	0.08483334489166737	55.63708187866211	0.005132344567948166	94.21526405334473	-0.006113267503678799	8000
64000	500	-0.5471111947824248	0.4477905607632091	81.15639194488526	0.007811069897696143	134.85030288696288	0.002449059085920453	9920
76800	600	0.0811238579080382	0.8768299766878287	137.84417243945597	0.21332389163671428	797.3107052612305	-0.03627329735085368	12000
89600	700	-0.044188125304834104	1.0333101801231674	97.51989976930618	0.15196304027079305	313.6904280090332	-0.029939440730959176	13920
102400	800	-0.11677709383447654	1.1532371375337243	107.8282444114685	0.15192403793203085	549.8109085083008	-0.030253977179527283	16000
115200	900	-0.07058551933024136	1.2544565304914224	97.18044885501266	0.18285413719659777	343.0684637451172	-0.03552721650339663	17920
128000	1000	-0.0788726187394932	1.3067756402790547	97.52946731948853	0.14070666035234125	425.8315191650391	-0.022144088950008155	20000
140800	1100	-0.09854495847073849	1.354373967370195	97.25445818328858	0.1511974827466657	478.82819610595703	-0.022720068357884884	21920
153600	1200	-0.09381462743139127	1.4050150511910517	102.1689319267273	0.14131315103372571	526.6362742614746	-0.02136101484298706	24000
166400	1300	-0.1134423334246385	1.4419507434200725	97.27164095306397	0.1404166758981608	493.5232969665527	-0.024968279525637627	25920
179200	1400	-0.11986260701983702	1.472446611119168	94.53947918891907	0.10306912122272982	379.6294401550293	-0.015041340293828398	28000
192000	1500	-0.13859725558967328	1.504102579273164	91.40350266456603	0.13778513969055606	401.8324887084961	-0.027629202902317046	29920
204800	1600	-0.15876992304518353	1.5411943941004573	111.26049046325683	0.1052017285771451	611.672580871582	-0.016754557695239782	32000
217600	1700	-0.15892422943597193	1.5788432960134913	90.71988287401199	0.14570498312191887	384.8368801879883	-0.026152435913681982	33920
230400	1800	-0.18163337876822333	1.6079951915641626	104.83599278640747	0.1078528076224808	379.46587005615237	-0.014808870311826467	36000
243200	1900	-0.16867609494028146	1.6356348391732334	99.28244431996346	0.13157126351369228	369.98043685913086	-0.02575536837801337	37920
256000	2000	-0.16600726698630025	1.6568399471193551	102.2876005859375	0.10002368409346894	356.5541345214844	-0.015624355133622885	40000
268800	2100	-0.19144114130618983	1.6744895207887616	97.51503384017944	0.11457495841875476	172.54709457397462	-0.024090845193713902	41920
281600	2200	-0.20458985252981074	1.687883279878985	106.04406737136841	0.06764312407927447	422.6707322692871	-0.008717487445101141	44000
294400	2300	-0.21806280634342692	1.7072414163019807	103.94062012481689	0.0897567823637895	291.9500634765625	-0.017838142327964306	45920
307200	2400	-0.22745482833310962	1.7193752025688689	97.71109753799439	0.07309979249795313	434.98921829223633	-0.015478692594915628	48000
320000	2500	-0.24546245617745444	1.736392455139699	99.43030610084534	0.07160286751726126	396.7707830810547	-0.013779934411868453	49920
332800	2600	-0.24740220014494843	1.751506893737958	94.71869298478961	0.09447522640182078	310.7885375976563	-0.023095759451389312	52000
345600	2700	-0.2439960422925651	1.7594290797651169	78.18113261127472	0.086093841339653	295.8191368103027	-0.02073348969221115	53920
358400	2800	-0.24036344750085845	1.768677728442209	91.3356359500885	0.0872443081871525	110.22002433776855	-0.02454263240098953	56000
371200	2900	-0.24469456695881672	1.775787128855922	98.00973969173431	0.07185807425817788	221.3427734375	-0.01606320194900036	57920
384000	3000	-0.2651440431459341	1.785009343713522	96.44995621871948	0.0799916013706752	260.82032676696775	-0.022159754056483506	60000
396800	3100	-0.2874521534908563	1.7969726095462184	106.52779217720031	0.06665959950877709	409.5829016113281	-0.016312298364937305	61920
409600	3200	-0.2775299083348364	1.8092165284696966	94.22965259695053	0.08140496346519495	263.48262535095216	-0.018148506097495555	64000
422400	3300	-0.30186639380222186	1.8184488131529064	102.97266698265075	0.06426904031316623	488.37789474487306	-0.012521712640300393	65920
435200	3400	-0.31852862366451884	1.8327763713896275	108.60904327011109	0.06233659153949752	339.6167887878418	-0.012589294370263815	68000
448000	3500	-0.31700780547061	1.8444933705202367	92.7001540312767	0.08239061672770447	249.53341888427735	-0.023714657034724952	69920
460800	3600	-0.3131120644367766	1.856870551581184	107.72080961799621	0.06996623937974533	269.1363278961182	-0.014066190533339977	72000
473600	3700	-0.29249764087819496	1.865554654180552	95.73194641381502	0.07518237339877251	261.21118576049804	-0.016055272202938797	73920
486400	3800	-0.31870175241446125	1.8680747335286516	96.71267740631103	0.063357495081033	194.74985260009765	-0.015442475387826561	76000
499200	3900	-0.308529599549016	1.8732644424255502	101.12511987686158	0.059313693971786964	244.00844741821288	-0.014587752018123866	77920
512000	4000	-0.3230252339951694	1.8787245847657323	89.4269792087078	0.10868518884864867	272.3066251373291	-0.02168081727810204	80000
524800	4100	-0.3304037848394364	1.8787230827801977	85.13024990844727	0.09241366473244983	221.16474769592284	-0.022525487244129182	81920
537600	4200	-0.2951854083479848	1.8758198381108897	84.08746295928955	0.07920599612329479	276.08487258911134	-0.018222460187971593	84000
550400	4300	-0.3044952150350437	1.872308482844348	97.12959190177918	0.062414345836611325	365.99599487304687	-0.008704273225739599	85920
563200	4400	-0.270644282635767	1.8684206741032274	76.73342475223541	0.08398620219215915	198.97459197998046	-0.015414730552583933	88000
576000	4500	-0.23526976938312874	1.8645221692347547	82.78743898391724	0.06952012502728064	315.1699656677246	-0.01782692363485694	89920
588800	4600	-0.23401680033258163	1.8651316480597724	91.08428289413452	0.09199529020671879	352.61074935913086	-0.01956221170723438	92000
601600	4700	-0.2508434833602514	1.8661689004421336	94.2185529499054	0.08571031765841053	298.9559378051758	-0.015040522087365388	93920
614400	4800	-0.2342857933002524	1.86747284328565	96.36506056594848	0.10477769255753495	230.7788957977295	-0.021857301294803618	96000
627200	4900	-0.25245206264243464	1.8665060751152291	83.29847726917266	0.0817892611512317	224.44869064331056	-0.014906927589327096	97920
640000	5000	-0.24808574991952628	1.8672433290064334	85.41100369644165	0.0804210434990834	271.23465240478515	-0.018606128692626952	100000
652800	5100	-0.25551037495047785	1.8705960229167853	101.74443118095398	0.05457249531253316	233.19470260620116	-0.009859841167926788	101920
665600	5200	-0.2536633411485236	1.8744225221012647	102.3111438331604	0.06863573070793728	327.4056413269043	-0.011828005965799093	104000
678400	5300	-0.2629700129055418	1.8764644696959647	94.28620146179199	0.08688178740310133	268.9625714111328	-0.01947622813284397	105920
691200	5400	-0.2903530869630631	1.8755840576633258	85.76240367889405	0.08415664156690567	302.23540649414065	-0.016479123905301093	108000
704000	5500	-0.2653938854536973	1.874560586018203	75.0457824048996	0.10501980690842687	180.9937900543213	-0.018938850685954092	109920
716800	5600	-0.27631593716773206	1.8698981311970524	88.26163923358918	0.0692389889436528	161.18885322570802	-0.013811044469475746	112000
729600	5700	-0.283395428708056	1.870499401578282	93.18713894462586	0.06680993002414674	229.50025833129882	-0.014441428622230888	113920
742400	5800	-0.22296890388242901	1.871625329507836	96.89892439079284	0.06097256445702021	234.69233596801757	-0.008884449210017919	116000
755200	5900	-0.2990967555930838	1.8741064859020904	94.3008310136795	0.05998535422880361	274.56860069274904	-0.00848583146929741	117920
768000	6000	-0.30002267273026517	1.8791559951752423	98.37181861114502	0.07306958224681943	201.33949020385742	-0.010559512535110116	120000
780800	6100	-0.25168135247798634	1.8856554282902498	103.33984947586059	0.08804384368673564	215.60214164733887	-0.016995776388794185	121920
793600	6200	-0.30234874174627474	1.8908281412095793	109.57914441680909	0.09009915001863088	324.6459147644043	-0.020964783113449813	124000
806400	6300	-0.28602275568130425	1.8942303973779064	93.75236699819565	0.0694703177586971	197.4062358856201	-0.019226390086114407	125920
819200	6400	-0.33202009776933117	1.8962581279547885	85.21845145261288	0.08810800455124121	193.6556530761719	-0.02280723547562957	128000
832000	6500	-0.3201489087957889	1.8986645736983918	100.61799826145172	0.05931432831109097	194.00475357055663	-0.014996670112013817	129920
844800	6600	-0.2829398596091196	1.9038412726693081	98.68982140541077	0.08034519892193859	228.2413991546631	-0.01648627863265574	132000
857600	6700	-0.3048123965500854	1.908680558885618	97.76724339413643	0.06841783595264722	166.58806564331056	-0.013905423767864704	133920
870400	6800	-0.3245465308604762	1.912398770806544	97.84863937282562	0.06726679590725114	196.85747817993163	-0.011907606907188893	136000
883200	6900	-0.3392706906287931	1.9159432074007536	99.34160826301574	0.08232255188779368	361.779857711792	-0.009508541226387024	137920
896000	7000	-0.32619164245110005	1.9180815024759088	92.4946681137085	0.08494645673390791	237.69030754089354	-0.0139420326333493	140000
908800	7100	-0.3402014671687502	1.9197949391181803	96.85957250785827	0.09077429241994017	278.35981185913084	-0.02124997994862497	141920
921600	7200	-0.33191732401330953	1.92388189855963	102.53812372779846	0.07800364285449488	300.0859733581543	-0.018424421958625318	144000
934400	7300	-0.35103177603986113	1.9297269442600704	116.6354960012436	0.05155835556324983	86.49845102310181	-0.012905051494017243	145920
947200	7400	-0.362104017523583	1.9371685139915427	109.10628898048401	0.10518472791617148	449.55756591796876	-0.01833849525079131	148000
