steps	episodes	elapsed	mean	median	stdev	max	min	average_discriminator_loss	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
10000	100	96.2768931388855	0.0	0.0	0.0	0.0	0.0	-0.09912471364066004	2.955468672208297	161.430947555542	0.34634051103297847	1321.1669989013672	-4.187081981897354	1560	nan
20000	200	182.39283871650696	0.0	0.0	0.0	0.0	0.0	-0.3397078140620142	7.23491561680268	409.167827331543	0.004373308975383974	8978.75205078125	-9.568056840896606	3120	nan
30000	300	268.2541546821594	0.0	0.0	0.0	0.0	0.0	-0.636278121970594	13.09360537951828	814.5875504760742	0.000649065155558191	33766.212890625	-17.11861584663391	4680	nan
40000	400	353.7507472038269	0.0	0.0	0.0	0.0	0.0	-0.8273010720089078	19.59694602837165	1160.1147034301757	0.00019053203606372675	76489.91025390624	11.67349142074585	6240	nan
50000	500	438.67835545539856	0.0	0.0	0.0	0.0	0.0	-0.895066103309393	25.0808954848693	1309.248640258789	4.74882893655329e-05	99361.8888671875	14.178489246368407	7800	nan
60000	600	523.7949876785278	0.0	0.0	0.0	0.0	0.0	-0.9105266573876143	29.04714238529022	1336.5428516845702	1.918143891658719e-05	106769.094765625	9.346417560577393	9360	nan
70000	700	609.1986527442932	0.0	0.0	0.0	0.0	0.0	-0.9155989719182253	31.88533825391815	1339.4151608886718	0.000733865902863948	94593.0734375	-5.051427440643311	10920	nan
80000	800	695.3681321144104	0.0	0.0	0.0	0.0	0.0	-0.9210191772431136	34.021663462734224	1336.3349442138672	8.123974147597146e-06	106501.6120703125	9.527226605415343	12500	nan
90000	900	780.4242558479309	0.0	0.0	0.0	0.0	0.0	-0.9272105388641357	35.63944033157096	1329.9813388671876	7.0444914933865854e-06	93547.552265625	-7.7991959810256954	14060	nan
100000	1000	865.1770780086517	0.0	0.0	0.0	0.0	0.0	-0.9347358984351158	36.93496236048648	1329.1257777099609	5.218184033468937e-05	94205.5159765625	-16.800946888923644	15620	nan
110000	1100	950.1599659919739	0.0	0.0	0.0	0.0	0.0	-0.940821731582284	37.998119184315826	1354.6415045166016	2.4714816242566343e-05	94940.988828125	-20.24469922542572	17180	nan
120000	1200	1034.979992866516	0.0	0.0	0.0	0.0	0.0	-0.9461144597381353	38.883225870425065	1374.62722265625	6.944902207095079e-05	109351.9387890625	16.242023601531983	18740	nan
130000	1300	1119.4389073848724	0.0	0.0	0.0	0.0	0.0	-0.9506421197280288	40.198710416316985	1386.4233603515625	8.280709214393529e-05	113411.9871875	13.565034961700439	20300	nan
140000	1400	1204.0160851478577	0.0	0.0	0.0	0.0	0.0	-0.9557619603276253	43.635163412094116	1393.9238367919922	6.497847873774694e-05	117023.025390625	9.578435397148132	21860	nan
150000	1500	1289.1232733726501	0.0	0.0	0.0	0.0	0.0	-0.9624152103438973	46.34524072837829	1402.6490877685546	0.00017553257414157242	104498.962578125	-5.955687637329102	23420	nan
160000	1600	1375.0702953338623	0.0	0.0	0.0	0.0	0.0	-0.9688912671804428	47.97712241744995	1400.327025024414	0.00018751497556890814	117361.6385546875	10.002344098091125	25000	nan
170000	1700	1459.9560039043427	0.0	0.0	0.0	0.0	0.0	-0.9739656909927725	48.53816913986206	1395.3313154296875	0.0006912758899118154	102892.1696875	-8.618089265823365	26560	nan
180000	1800	1545.1035866737366	0.0	0.0	0.0	0.0	0.0	-0.9797654013931751	48.61372338485718	1394.5030030517578	0.00018584146965463299	105378.4369140625	-17.711130266189574	28120	nan
190000	1900	1631.1329741477966	0.0	0.0	0.0	0.0	0.0	-0.9838788729682565	48.60035647201538	1415.0839805908204	0.00012864967775261558	102222.66015625	-21.544894914627076	29680	nan
200000	2000	1716.1625623703003	0.0	0.0	0.0	0.0	0.0	-0.9896064540222287	48.61980428314209	1439.5606822509765	0.0004911713148075519	116587.0353515625	17.08142315864563	31240	nan
210000	2100	1800.7259080410004	0.0	0.0	0.0	0.0	0.0	-0.994629115305841	48.6724446220398	1456.9375646972655	2.2512371484107263e-05	121329.4503515625	13.578378365039825	32800	nan
220000	2200	1885.4394264221191	0.0	0.0	0.0	0.0	0.0	-0.9989138829782606	48.76210623168945	1458.5116491699218	8.049772303266519e-05	122684.59890625	9.048858275413513	34360	nan
230000	2300	1969.5345373153687	0.0	0.0	0.0	0.0	0.0	-1.0038635486513376	48.874505908966064	1464.4186856689453	0.00041389469220332834	107808.366875	-6.926804838180542	35920	nan
240000	2400	2054.2532086372375	0.0	0.0	0.0	0.0	0.0	-1.007640995964408	48.99526124954224	1455.0937662353515	3.691799395356264e-05	119415.1734375	10.050081720352173	37500	nan
250000	2500	2138.0554778575897	0.0	0.0	0.0	0.0	0.0	-1.0108209746330976	49.12252579498291	1446.021171875	4.714975320837572e-05	103092.7551953125	-9.855618739128113	39060	nan
260000	2600	2221.949047088623	0.0	0.0	0.0	0.0	0.0	-1.0150455006659032	49.26082163238525	1437.1408464355468	0.00010271130985811044	102269.2227734375	-14.207722034454346	40620	nan
270000	2700	2305.7648837566376	0.0	0.0	0.0	0.0	0.0	-1.016716368854046	49.38518598556519	1449.5236407470702	6.441409033081764e-05	99496.6248046875	-19.820062079429626	42180	nan
280000	2800	2388.8153104782104	0.0	0.0	0.0	0.0	0.0	-1.0198929636776448	49.49758815002441	1459.7062697753906	7.380718529596101e-06	112120.581484375	16.603610472679136	43740	nan
290000	2900	2472.506196498871	0.0	0.0	0.0	0.0	0.0	-1.023151398666203	49.59840203857422	1468.476321899414	7.614470063833228e-06	115709.9549609375	12.598248028755188	45300	nan
300000	3000	2556.220811843872	0.0	0.0	0.0	0.0	0.0	-1.0244767976775766	49.688375198364255	1456.9679643554687	8.153738164881785e-06	114996.6080078125	8.889133396148681	46860	nan
310000	3100	2639.8448572158813	0.0	0.0	0.0	0.0	0.0	-1.0268241341486573	49.752250080108645	1456.5586231689454	6.008946703703531e-07	100100.3006640625	-7.969760956764222	48420	nan
320000	3200	2724.331308364868	0.0	0.0	0.0	0.0	0.0	-1.0283354966267944	49.78917099761963	1442.7579973144532	6.028778037492671e-07	110727.6432421875	9.68148515701294	50000	nan
330000	3300	2808.3249802589417	0.0	0.0	0.0	0.0	0.0	-1.0306774550676345	49.79662571334839	1434.899615234375	6.064433845109196e-07	95961.4429296875	-10.789752411842347	51560	nan
340000	3400	2892.4991657733917	0.0	0.0	0.0	0.0	0.0	-1.0319365841299295	49.77420008468628	1426.7909232177735	6.132223444236441e-07	96036.9876171875	-11.259244174957276	53120	nan
350000	3500	2975.8270304203033	0.0	0.0	0.0	0.0	0.0	-1.0333891409635543	49.724675025939945	1442.0354514160156	6.331118009029712e-07	94058.746875	-18.459919109344483	54680	nan
360000	3600	3059.1453490257263	0.0	0.0	0.0	0.0	0.0	-1.0346943570673466	49.645118057250976	1450.4077296142577	6.637737629857218e-07	105752.89953125	16.538025379180908	56240	nan
370000	3700	3142.73655295372	0.0	0.0	0.0	0.0	0.0	-1.0359616989642382	49.54296282196045	1455.933630859375	7.433700063178828e-07	108638.3816015625	10.405968494415283	57800	nan
380000	3800	3226.135241985321	0.0	0.0	0.0	0.0	0.0	-1.0377008452042937	49.43652782440186	1441.4624216308594	9.350284710099356e-07	108312.9414453125	8.098470010757445	59360	nan
390000	3900	3309.450492143631	0.0	0.0	0.0	0.0	0.0	-1.039316820897162	49.32647454071045	1445.1933266601563	1.7018347208887977e-06	94878.9971875	-9.719696407318116	60920	nan
400000	4000	3393.550361633301	0.0	0.0	0.0	0.0	0.0	-1.0400749169141055	49.21936172866821	1431.6591293945312	7.299122892228041e-06	105128.2305859375	9.736312127113342	62500	nan
410000	4100	3477.1032938957214	0.0	0.0	0.0	0.0	0.0	-1.0406015465334058	49.10940005111694	1421.4202474365234	1.3681482581255123e-05	91173.3194921875	-10.728365125656127	64060	nan
420000	4200	3560.6203203201294	0.0	0.0	0.0	0.0	0.0	-1.0416096292287111	48.99297729110718	1408.8860401611328	1.785122804430625e-05	91084.2443359375	-9.903697328567505	65620	nan
430000	4300	3644.401906490326	0.0	0.0	0.0	0.0	0.0	-1.042255463540554	48.870862827301025	1425.1996951904298	2.4031696890965322e-05	90878.6484765625	-15.200400390625	67180	nan
440000	4400	3728.676593065262	0.0	0.0	0.0	0.0	0.0	-1.0434456736072897	48.74541523361206	1430.7606585693359	2.1007529464696736e-05	100994.191015625	16.875033693313597	68740	nan
