steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss
10220	28	115.02536058425903	0.0	0.0	0.0	0.0	0.0	4.169064582824707	0.13424160288181156	0.3632023971155286	-0.0907803138718009
20075	55	204.55786871910095	0.0	0.0	0.0	0.0	0.0	25.489602585554124	0.038254070108805535	35.07860692381859	0.4013904441893101
30295	83	297.03697967529297	0.0	0.0	0.0	0.0	0.0	35.6465407679081	0.015920385050552797	3.589380455533974	-1.619634004496038
40150	110	386.5524699687958	0.0	0.0	0.0	0.0	0.0	0.2882575071454048	0.38218324740137904	31.64546378493309	-0.9796078884601593
50005	137	476.3559801578522	0.0	0.0	0.0	0.0	0.0	46.2808330488205	0.09623677604441763	6.7752047926187515	-2.152928395271301
60225	165	569.1562552452087	0.0	0.0	0.0	0.0	0.0	14.224208032131195	0.16552076005609706	7.290213884115219	-2.675563543140888
70080	192	658.8702890872955	0.0	0.0	0.0	0.0	0.0	43.31146091556549	0.13747887860972263	118.52036709308624	-0.012007770501077175
80300	220	751.7671089172363	0.0	0.0	0.0	0.0	0.0	27.523426963210106	0.12734356795014354	1.8411967727541922	-0.19957837533205747
90155	247	841.6277449131012	0.0	0.0	0.0	0.0	0.0	41.52942977333069	0.11532150216162146	108.15373488783837	-1.542614493370056
100010	274	931.245242357254	0.0	0.0	0.0	0.0	0.0	83.40433682250976	0.05345246507827167	22.5390267431736	-3.564823671579361
110230	302	1024.0663697719574	0.0	0.0	0.0	0.0	0.0	44.723237277984616	0.06006678092268825	10.53870909780264	-0.06007226645946503
120085	329	1113.5535893440247	0.0	0.0	0.0	0.0	0.0	71.94131682777405	0.02735662142770532	19.074432003498078	-2.896630066484213
130305	357	1206.1821246147156	0.0	0.0	0.0	0.0	0.0	36.80434402745962	0.11562441284595541	10.15750500202179	-1.769048991203308
140160	384	1295.1504216194153	0.0	0.0	0.0	0.0	0.0	85.93509970092774	0.004965932196359944	189.25859424233437	-0.4243221616744995
150015	411	1384.1431410312653	0.0	0.0	0.0	0.0	0.0	-9.094489871025086	0.40771196140209215	142.14737113952637	0.9824509012699127
160235	439	1476.607631444931	0.0	0.0	0.0	0.0	0.0	62.77381139564514	0.14021183786011535	195.43546669363977	-1.051214189529419
170090	466	1566.4424476623535	0.0	0.0	0.0	0.0	0.0	40.00315811061859	0.14585392060961022	101.10792042136192	-2.134029138684273
180310	494	1659.3482687473297	0.0	0.0	0.0	0.0	0.0	13.750845341935754	0.27492857767874374	17.787250208854676	-2.515770401209593
190165	521	1749.0526666641235	0.0	0.0	0.0	0.0	0.0	101.25767352676391	0.11038347071228054	30.176068232059478	-2.4245949862897396
